date_received,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
05/08/2015,Managing the loan or lease,,"The company XXXX ( AKA Deliber Services ) is reporting to the credit agencys that both companies are servicing the loan. 

Making it appear that I have XXXX loans instead of XXXX. 

My account has been "" sold '' between both companies since it was opened. 

The loan terms violated FL state statue in terms of the amount of interest charged during the loan terms. A complain was filed with the Office of the Attorney General. The State of Florida has also filed a Court case pending a decision in the district court of appeals. Case # is XXXX. 

The reporting of the negative information has greatly impacted my credit score and has prevented me from obtaining a mortgage for home. 

Dealing with CashCall/Delibert services in the past has been very difficult. They have employed aggressive and intimidating tracts to service the loan. 
",Company chooses not to provide a public response,Delbert Services,NC,275XX,,Consent provided,Web,05/11/2015,Closed with explanation,Yes,No,1366651
05/08/2015,Other transaction issues,,"I wired money from my Citibank account in the XXXX to my XXXX account with a XXXX Bank in XXXX. 

After I made my wire transfer online and get the confirmation number, I was called XXXX times from Citibank to verify my identification. After all these XXXX calls, I was told that I had answered all their security questions and the wire transfer would go through soon and I just needed to wait here. 

Then I was called again by Citibank ( the lady actually hanged up on me ) that my online wire transfer can not get through, and I need to fly to another city ( XXXX ) with Citibank branch to get my own money back as there is no Citibank branch in XXXX. People refused to answer why I was treated like this this time as it never happened to all my previous online international wire transfers ; and they refused to answer what policy caused clients to go to another city to get their own money back. 

This transfer is from me to myself, the sender and the receiver are the same person and I have answered all their security questions, XXXX times. 

I believe it is not reasonable to treat clients like this, and the service people are very rude 
",Company chooses not to provide a public response,Citibank,,,,Consent provided,Web,05/11/2015,Closed with explanation,Yes,No,1366831
04/24/2015,Can't repay my loan,Can't decrease my monthly payments,"I attended and graduated from University XXXX XXXX in XXXX, Florida. I have a private student loan from PNC serviced by XXXX. In XX/XX/XXXX I contacted XXXX to find out how I can lower my monthly payment due to my low income. After several attempts with different representatives I was finally transferred to a gentleman named XXXX in the financial department of XXXX. He instructed me to fax over a written statement and supporting documents. The documents included a recent pay stub, copy of my XX/XX/XXXX tax XXXX, as well as income sensitive repayment request form. I faxed over everything as instructed. After 4 week I still had no feedback. I continued to make some kind of payment each month. I resent my paperwork again in XX/XX/XXXX and XX/XX/XXXX. Still no response. In an attempt to make a better yearly income, I went back to school to changed my profession. While in school I requested deferment of my payments. No response. In XX/XX/XXXX I received a letter from Attorney at law XXXX, XXXX, and XXXX debt collector. I faxed them back in XX/XX/XXXX That I had been making some kind of payment and that I had filed income sensitive repayment request to XXXX. I heard nothing back from them till XX/XX/XXXX they started leaving messages on the answering machine. I have no idea what has happened. I just was requesting a lower monthly payment so I can stay on top of paying off my loans. XXXX monthly payments {$470.00} a month, my yearly income {$16000.00} per year. I do n't know where to turn. I continue to request lower monthly payments till I can get my career on track. I take my state XXXX exam in XX/XX/XXXX. 
",,PNC Bank N.A.,FL,336XX,,Consent provided,Web,04/24/2015,Closed with explanation,Yes,Yes,1346682
05/21/2015,Charged fees or interest I didn't expect,Charged fees or interest I didn't expect,"I received a payday loan for XXXX dollars. I was not sent the contract terms, and I was n't called by a representative to explain the terms. It turned out that the repayment was on a schedule I could not keep up with, and when I asked the lender to adjust the schedule they refused, while informing me that there would be a XXXX dollar finance charge for each missed payment. For me, that meant that I would never be able to pay this loan off. Now I am receiving harassing phone calls at work from a representative who tells me that it will cost XXXX dollars to pay off this loan. 
",,Red Rock Tribal Lending,OR,972XX,,Consent provided,Web,05/21/2015,Closed with explanation,Yes,No,1387074
05/21/2015,Unable to get credit report/credit score,Problem getting report or credit score,"I wrote Experian because after talking with a mortgage person he said there were problems with my credit report so he had me go to a web site and get my reports. He told me where to find a simple form letter on line and to write the credit bureaus with my questions. Experian sent me a letter saying my letter was suspicions and they refuse to help me. 
I believe since I am a XXXX they are discriminating against me. I am educated and know my rights. I have read what they are. 
",Company chooses not to provide a public response,Experian,TX,787XX,,Consent provided,Web,05/21/2015,Closed with explanation,Yes,Yes,1387080
04/20/2015,Can't contact lender,Can't contact lender,"Someone keep calling me from XXXX,XXXX. Stating that they are going to serve me papers on my Job. They give them to the HR. I need XXXX forms of ID. That I was a person of Interest. His name was XXXX. File number Doc XXXX. I had a payday loan online 1 year ago ; but my Job filed Bankrutcy ; and closed. I told the company at that time. I called the numbers at XXXX and XXXX and it states if you have an existing loan or in collection that they no longer in business that they have not sold any information to a third party. But everyday I get phone calls from different numbers ; they have all my information. There has been phone calls from XXXX ; I google it. I talked to a Consumer Compaint they tell me it is a scam. I can not rest for these peoples. I had called number back XXXX the lady was rude saying that I have been sued that I need a Lawyer. I told them send it to me in writing ; they are saying they have it in the court. I stopped answering calls that I do not know. I let the social security peoples know about the scam. 
",,"MNE Services, Inc",TX,770XX,Older American,Consent provided,Web,04/20/2015,Closed with explanation,No,No,1338227
05/09/2015,Taking out the loan or lease,,"I took out a loan with XXXX XXXX in XXXX of XXXX for {$2500.00}. My interest rate was set at 138.85 % with monthly payments of {$290.00}. After making 2 years worth of payments, over {$7000.00}, I finally submitted a complaint. My loan was moved from XXXX XXXX to CashCall to XXXX XXXX where they offered to reduce my interest rate to 20 % with a monthly payment of {$110.00} around XXXX of XXXX. It is now XXXX XXXX and my loan has been moved back to CashCall. After doing some research, I found out that in XXXX of XXXX, our Attorney General ( MO ) sued XXXX XXXX controlled by XXXX XXXX and this operation is prohibited from making or collecting on any loans in Missouri. The lawsuit also cancels existing loan balances for Missouri borrowers but I am still receiving notices that my monthly payment is due and will be extracted. 
",Company believes it acted appropriately as authorized by contract or law,"CashCall, Inc.",MO,633XX,,Consent provided,Web,05/09/2015,Closed with explanation,Yes,Yes,1368480
05/11/2015,Managing the loan or lease,,"Harley Davidson Financial has been calling me everyday all day repeatedly. I called them and made payment arraignment. They are still calling and harassing me. I told them that they are harassing me and they said according to my contract that they are allowed to call me up to XXXX times a day. I told them by law it is still harassment and they called me back again. 
",,"Harley-Davidson Financial Services, Inc.",IA,511XX,,Consent provided,Web,05/11/2015,Closed with explanation,Yes,Yes,1368885
04/21/2015,Cont'd attempts collect debt not owed,Debt was paid,"I 've received telephone calls from "" XXXX '', who works for XXXX XXXX XXXX in XXXX, Virginia. Supposedly, I "" owe '' a medical debt to XXXX XXXX for approximately {$48.00}. The Department of Veterans affairs authorized non-VA care at XXXX XXXX. The VA has a policy that any "" authorized non-VA health care services is considered payment in full. The provider may not bill you or your health carrier for any services that were authorized and paid by VA. '' When I explained this to "" XXXX '', he rudely told me to let him finish talking, and he stated that until I faxed him that VA statement, he would continue to collect the debt. I stated that it was illegal for him to do so per the health insurance policy. Previously I had given the debt collection company the addresses of the Department of Veterans Affairs. I question whether the company is in fact legitimate. I have received XXXX different telephone calls from XXXX different telephone numbers. XXXX of the telephone numbers was overseas. Each time, the person on the telephone had a XXXX XXXX XXXX and used XXXX names. I was asked to give my mailing address and my date of birth to "" XXXX ''. I worry about identity theft issues, so I hope I did n't accidentally give the wrong person my personal information. 
",Company chooses not to provide a public response,Nationwide Credit Corporation,MD,214XX,Servicemember,Consent provided,Web,04/21/2015,Closed with explanation,Yes,No,1340867
06/05/2015,Problems caused by my funds being low,,"Astoria Bank charged me an overdraft fee after they automatically overdrafted my account be charging an account fee of XXXX dollars and a periodic fee of XXXX dollars even though I had no money in my account. As a result of my overdraft they took everything I had when my check was deposited. 
",,Astoria Bank,NY,112XX,,Consent provided,Web,06/05/2015,Closed with monetary relief,Yes,No,1407422
05/29/2015,"Account opening, closing, or management",,"I signed up for a keybank easy checking account for a {$250.00} promotion. The promotion details indicated use direct deposit for {$500.00} or more within XXXX days to get the {$250.00}. I called once I had completed the required {$500.00} and was told yes i have met my qualification and would get the {$250.00} within the next few months. 
I emailed yesterday inquiring about how long it is taking to get my {$250.00} to ensure it is still on its way and was told I did n't meet the promo criteria because it is a single direct deposit for {$500.00}, not direct deposits combined to equal {$500.00}. I called to advise this is deceptive and has now caused harm in my inability to do a single deposit for {$500.00} to meet the qualification as the window of time has past. The representative told me that I did qualify when I spoke with her today, but when i pushed for clarification she did confirm it needed to be XXXX transaction of {$500.00} or more. XXXX I have called and been told yes i qualify, but finding today I actually do not. This is deceptive and unfair as now I am not able to fulfill the terms, due to misinformation provided by key bank. 
",,KeyBank NA,UT,841XX,,Consent provided,Web,05/29/2015,Closed with monetary relief,Yes,No,1398616
05/30/2015,Problems when you are unable to pay,,"The loan with American First Finance was started XX/XX/XXXX. I had a late payment on XXXX occasions in XXXX and XXXX and had arrangements to pay. They still called my place of employment for payment before the agreement date came. I called the main office and asked them to not call my job and reminded them they have my cell and home number and should use those. I was told they use an automated dialer and they would take measures to see that this shouldn't happen again. The same thing happened with the XXXX payment agreement. I again called and asked them to remove my work number because when they call they just ask for ""XXXX"" as though they are a friend or family member. I was told they would note not to call my employer. There came a time when I missed another payment and they started calling my job again several times a day. I explained I only work XXXX day a week at most and if I am not home to take the call they call my employer. On XX/XX/XXXX I received a text message saying my account was eligible for loan rehab. I spoke with representatives every day for the next few weeks who told me they would send me an email with the details of the rehab program, I explained that each person before them promised to send the email but I have never received it. I spoke with someone named XXXX later in XXXX who stated she would personally be handling my case from now on and she also never sent the email. Now I am getting calls many times a day and usually speak with XXXX people a day who say they will send the email. There was one occasion when they called my job in XXXX and I explained I was at work, a XXXX used her ""XXXX"" so i had to answer it. I asked the rep if I could call them back when I went on break. She continued to talk to me about my late payment. My superior was sitting near me and told me I can't have calls that disrupt my job like that and someone calls me daily at work and this had to stop. On XXXX I was at work and they called again. I asked the rep if my work number has a note or something showing they should not be calling and she stated ""no"" but she would be removing it from the system. I got calls XXXX @ XXXX, XXXX, XXXX. On XXXX @ XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, On XXXX @XXXX, XXXX, XXXX. These are just the times from the most recent calls. There have been days when I speak with at least XXXX people in one day. XXXX I spoke with  XXXX who informed me they don't have the loan rehab program and now they have a ""fresh start"" program which just starts the loan all over again. They have the loan rehab details in writing but she won't send me that because it won't help me (and they don't offer that anymore) I have to use the the fresh start and for that program they have nothing in writing. She also stated that my work number shows up in red but it is still on my account. There seems to be a lot of misinformation coming from this company I've offered to make arrangements that I know I can keep but that is not acceptable to them. My working depends on the amount of XXXX and recently it has been sparse. I ask for things in writing now since I see it is a practice of them to just say anything to get you to make a payment with no thought as to how they are treating their customers. I have written them via email to make them aware I am seeking advice and help and also to report their actions. I have also been told to speak with the store to see if they would take the merchandise back and they would remove the loan.  this was also untrue as the store doesn't do refunds. Do they not know the policy of the merchants they deal with or was this just another lie i was being told?",Company believes complaint represents an opportunity for improvement to better serve consumers,"American First Finance, Inc.",MO,631XX,,Consent provided,Web,06/10/2015,Closed with explanation,Yes,No,1399065
06/05/2015,Incorrect information on credit report,Account terms,"I fought this medical debt over a emergency XXXX w/my insurance for 2 years, it is now paid in full by me, but there are several things wrong in the details. 1. This account was NEVER verified EVER with me, I asked for it via dispute XXXX times & received canned response that it was.they claim calling and inquiring about it counts as verification.2.delinquent date is listed as XXXX, WHEN I was still in the hosp I was already delinquent? 3. terms are listed as 1 month? there was no terms.4.It lists a high balance for credit limit, being a medical bill there was no credit limit.XXXX.all kinds of extra comments listed,XXXX of the credit agencies even list it as a charge off/repossession, a much worse listing than medical debt.5.All XXXX credit agencies have different dates of first reporting.6. was threatened by XXXX XXXX XXXX after paying the debt that if i contested it further there would be trouble for me, and in fact updated the info on full payment so it now looks like a fresh debt, causing max damage to my scores. 

I would like to know how you can be treated for an unexpected medical bill the same as someone who say runs up a credit card, or defaults on a car note. My other XXXX bills/trade-lines are paid, always are. But because I was sick and needed help that XXXX time I should be punished after the fact, and for XXXX more years as well? ( Until 2019 ) In FACT it will cause it to update & cause my score to drop further. Why should a minor medical bill make me unable to have a home loan? How this is fair is not the question, it should be how this is legal is what I want to know. Where is the incentive to get people to pay their bills if they will still be punished regardless of it? 
",Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",MI,490XX,,Consent provided,Web,06/05/2015,Closed with explanation,Yes,No,1408232
05/16/2015,Fraud or scam,,"My name is XXXX I live at XXXX XXXX XXXX XXXX in XXXX wa XXXX1 My phone number is XXXX, I recently moved and I 'm a struggling student. 2 months ago I spent all the money I had in my savings in purchasing XXXX new iPhone 's off XXXX for a good deal. These were valid legitimate phones -the serial numbers checked out with XXXX and XXXX - they werent blacklisted, or stolen, all XXXX phones were brand new, sealed, unopened and never used, so I decided to try to sell them on ebay. I 've never sold anything online before, but I 've seen advertisements and claims of protecting sellers, buyers, all kinds of promises were made to me before I signed up - so I felt safe initially in posting all XXXX phones. XXXX by XXXX they all sold, over the course of a week and a half - and when the XXXX phone sold, I got an email from paypal- telling me that my account was limited, and I needed to provide documentation to prove my identity. At XXXX paypal asked for a few things, but as I started uploading my information to their website - statements, bills, my identification, social security number, etc, every docment I uploaded to confirm my identity was met with a request for another XXXX DIFFERENT documents. Right when I uploaded XXXX of my last documents, a XXXX bill in my name with my address, they limited my account permanently - without appeal. They informed me they 're holding my funds for 180 days, and there 's nothing I can do about it. I 've been calling paypal XXXX a day now for a week straight, and every single person I 've talked to has given me different requirements. They all keep saying the same thing, that I agreed to their terms of service - and when I asked them why they were doing this, they said that they need to hold onto the money to protect themselves in case of chargebacks for 180 days. This is in spite of the fact that all XXXX items tracking numbers show delivered, all XXXX items received positive feedbacks and gratitude from their buyers, all XXXX items have been activated on their respective carriers without issue, and most importantly, at the time of the sale before i shipped, I was assured by paypal that I qualify for seller protection which would negate the ill effects of things such as chargebacks or item not received claims. The whole time leading up to this, i was reading stories of buyers abusing these systems to take advantage of sellers, and I was so scared at XXXX point I considered scrapping the remaining XXXX auctions and cancelling them as well as the XXXX XXXX before shipping the phone out and just selling them locally. I wish I had done that now, Paypal limited my account, not allowing me access to any of my funds for 180 days.This was all the money in the world I have to my name, and it 's locked up making interest for paypal for 6 months now. My ebay account got closed because I could n't pay the seller fees because paypal wouldnt release my money to ebay to cover the fees. The account was then sent to collections. I do n't have money to pay my rent, I 've tried calling paypal multiple times asking them why they are doing this, but keep getting canned responses. I followed their rules down to the t, I took all the precautions to protect myself, and now i 'm facing eviction. I 've provided the documentation they 've asked for, and they refuse to do anything until 180 days has passed, the last XXXX times I called on friday I was simply trying to add a bank account to my paypal account in preparation to receive my money into it, as far away as it may be ( they said XXXX XXXX ), and all XXXX attempts failed as their employees seemingly mocked and ridiculed me, telling me that im wasting my time and there 's no point in adding a bank account since I ca n't pull the money out anytime soon anyway. UNREAL ... 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",WA,980XX,,Consent provided,Web,05/16/2015,Closed with non-monetary relief,Yes,No,1379264
05/18/2015,"Loan modification,collection,foreclosure",,"My home is listed with a realtor to for a short sale in lieu of foreclosure. I listed the home XX/XX/2014. I moved out XX/XX/2014. Caliber bought my mortgage after I moved out. They have set a foreclosure hearing to avoid my "" cash for keys '' RESPA settlement. Can they do this to me? 
Thank you. Please : this is not a "" Duplicate '' request. 
Numerous offers have been made to buy my home. 
",,"Caliber Home Loans, Inc",NC,270XX,,Consent provided,Web,05/19/2015,Closed with explanation,Yes,No,1379647
05/18/2015,Can't repay my loan,Can't get flexible payment options,"I received my degree from University XXXX XXXX, applied for Federal Loans and worked full time. My wife was a stay at home mom and the University sold me on Private Loans that they said worked like Federal loans to supplement my income. I ended up with over XXXX in Private Loans the school should have never presented and an economy that will never return to pay them off. 
",,KeyBank NA,CA,926XX,,Consent provided,Web,05/19/2015,Closed with explanation,Yes,No,1380398
06/06/2015,Closing/Cancelling account,,"My card was used fraudulently. I was able to get the vendor to credit the account within a short time but not in the same payment period. But Bankamericard charged me late fees and interest and has now closed my account. Do n't they have some responsibility for fraudulent charges? I do n't care about the closed account but they have no doubt reported me to the credit bureaus. They should credit my account XXXX for the late fees and interest and wipe credit history clean. 
",Company chooses not to provide a public response,Bank of America,NY,101XX,,Consent provided,Web,06/10/2015,Closed with explanation,Yes,No,1409489
05/23/2015,Fraud or scam,,"I visited XXXX # XXXX on XXXX/XXXX/15 I wrote a check lost my check a day later froze my bank account with XXXX and a few days after things had cleared I closed the bank account XXXX took my money I had earned using their reward program so I inquired why my {$29.00} had dissappeared I w as told it was for a check returned to contact a certain person I called left several messages no one responded so I was forced to file a XXXX complaint now working with someone in corporate that is taking care of the issue not even a couple of weeks later my checks are being returned from my new account I get a notice from TRS Recovery that Telecheck had blocked me from using my checks if I ever wanted to use a check again to pay {$48.00} that was for a {$23.00} check with a {$25.00} returned unprocessed check I tried to get TRS & Telecheck to remove the negative stuff from my credit while I work with XXXX but they refuse 
",,First Data Corporation,OH,891XX,,Consent provided,Web,05/28/2015,Closed with explanation,Yes,No,1390071
05/23/2015,Disclosure verification of debt,Not given enough info to verify debt,"In XXXX, XXXX, I received a Earnings Garnishment from the XXXX Law Office. It was referring to a defaulted loan I supposedly had owed. I did not receive a Judgment from this law firm. I did however receive a Judgment for money from a law firm in XXXX, Wi. on XXXX. The amount was {$18000.00}. I sent a Validation of Debt letter to XXXX Law Office, certified mail receipt, on XXXX/XXXX/XXXX. I received the receipt from them on XXXX/XXXX/XXXX. As of this day XXXX Law Offices is not following federal law and has ignored my right to validation. I have not received anything. On XXXX XXXX, XXXX, I receive a copy of Notice of Retainer and Surplus Proceeds signed by XXXX XXXX XXXX, XXXX. in XXXX, wi. This is to XXXX XXXX Bank regarding a foreclosure I was under when the banks were committing mortgage fraud. My house was foreclosed in which I received compensation under the fraud lawsuit. From the paper work, Associated Bank filed the retainer against XXXX XXXX for money when the foreclosed house sold. Proving that the Associated Bank Loan was taken out with the home mortgaged through XXXX XXXX using the equity as collateral to secure the loan. I personally know the house was sold, I do not have any proof that Associated Bank had received any of these funds through XXXX XXXX. I am being refused any and all information in which I have a legal right to know. XXXX Law Office states they were hired by Associated Bank to collect. I believe this is a false representation of who owns this debt. They are currently garnishing my wages without providing proof or even a Money Judgment from them from the court. I am not aware of the technicalities of a fraudulent mortgage loan on a house that was used for a equity loan? 
",,Associated Bank,WI,538XX,,Consent provided,Web,05/23/2015,Closed with explanation,Yes,Yes,1390314
06/08/2015,Customer service / Customer relations,,"I opened a sears credit card in XXXX, I was told I could use the credit card any where not just the store. It turned out I could n't, I tried using the credit card a week ago and I could n't use it. I spoke to multiple customer service representatives, who where unable to verified my personal information for security reasons after I sent the SEARS the requested documentation they needed. Many of their customer service representatives hanged up the phone on me because they refused to help me in my situation. The company lies about credit cards. The only time I was able to set up an online account to verified that I paid what I paid, that was the only time I had access to the account. Sears demands again all my information and I am not able to even use the credit card. In addition, I was charged {$35.00} fee for late payment because after days and days of calling the company to verified my information, they were rather interested in me paying that doing anything else. They did waived the fee, but it was not until I spoke to a supervisor after mostly all customer service representatives refuse to transfer me to the supervisor. The company lies and opens credit cards that are only good use in its stores, there was no information given nor terms of conditions when I open the credit card, so I do not know how much in interests I am being charges. 
",Company chooses not to provide a public response,Citibank,NJ,088XX,,Consent provided,Web,06/10/2015,Closed with non-monetary relief,Yes,No,1411655
05/24/2015,Fraud or scam,,"I contacted the Law Office of Michael Lupolover because I was contacted by a debt collection agency that violated the FDCPA Law when contacting me. After 4 months of waiting to be contacted, XXXX contacted me with a settlement offer. He urged that I sign the settlement as quickly as possible. I advised him that there was information missing in the settlement. Which he assured me that it would me changed and to sign the XXXX settlement just so it could be filed. He lied to me about several things that were suppose to happen that never happened. He told me that the debt collection agency would no longer be able to contact me so they will be sending the debt back to its original creditor. 3 months later XXXX and XXXX XXXX, who claims he is Senior Attorney, keep telling me verbatim "" the debt collector has already returned debt to the original creditor ''. This could n't be more false if it slapped you in the face. I called the original creditor 3 times and spoke with supervisors saying that it was n't returned. I called the debt of ed which has verified that the debt belongs to the same debt collection agency that harassed me! This debt collection agency also reported to my credit bureau which resulted in me getting denied on an application which the XXXX Lawfirm has has stated that they did not do! They came to a settlement amount of XXXX with the debt collection agency and I was only getting XXXX and they would keep for themselves?! XXXX Lawfirm was charging me XXXX for fees on an arbitrary number. This Lawfirm is worse than the debt collection agency that harassed me. 
",Company believes it acted appropriately as authorized by contract or law,Law Offices of Michael Lupolover,OR,970XX,,Consent provided,Web,06/17/2015,Closed with explanation,Yes,No,1390349
06/19/2015,"Account opening, closing, or management",,"THIS IS NOT A DUPLICATE : XXXX accounts were closed by Chase Bank and the reason given was basically "" because we can and we feel like it ''. However, to date only the money in XXXX account has been returned in the amount of {$61.00}. The money in the other account has not been returned in the amount of {$270.00}. Further there were XXXX {$12.00} charges totalling {$48.00} assessed to the account even though the deposit items in question were the fault of XXXX, who made good on the items. 
",,JPMorgan Chase & Co.,IL,606XX,,Consent provided,Web,06/19/2015,Closed with explanation,Yes,Yes,1428988
07/02/2015,Taking/threatening an illegal action,Threatened to sue on too old debt,"This collection company by the name of "" Asset Acceptance LLC '' has been using "" scare tactics '' by threatening to sue me when my debt is way past my states Statute of Limitations. I wrote them a letter stating to them that what they are doing is illegal and that I am willing to take action against them with my legal team. Instead, they sent another letter. 
",,Encore Capital Group,IL,604XX,,Consent provided,Web,07/02/2015,Closed with explanation,Yes,No,1450334
06/13/2015,"Loan servicing, payments, escrow account",,"SLS ( Specialized Loan Servicing , LLC ) will not send monthly statements, their web site is always down and the folks there are very rude, I believe I 'm being charged too much on my mortgage interest. They pay our state property tax late even though I send it early costing me more, we get no monthly payment, or payment booklet statements what so ever on any thing except at the end of the year for Federal tax purpose, there is a web site with XXXX of complaints on this company, someone needs to look into their in my opinion illegal practices.. 
",,Specialized Loan Servicing LLC,KY,424XX,Older American,Consent provided,Web,06/13/2015,Closed with explanation,Yes,No,1420131
06/27/2015,Dealing with my lender or servicer,Don't agree with fees charged,"This is XXXX of XXXX complaints that have now haunted me for way too long. XXXX foremost I have a major problem with the initial placement of my loan in collections, I was making XXXX payment to granite state management in NH, where they led me to believe XXXX easy payment took care of all of my loans. Not to mention they also led me to believe that my loans covered my entire schooling (which they did not and XXXX.). Long story short, I eventually was contacted by a collection agency by the name of XXXX and told I had to pay XXXX more per month to them for this XXXX private loan that was sent to collections all while still paying on the other loans. I was confused and upset. I disputed XXXX but then began paying this company XXXX a month for fear of them ruining my credit. I was very young when I made this choice to start paying them and I feel now like this was predatory in nature. Then after paying for nearly a decade I assumed that I would be close to paying them off (now XXXX) and figured I would give them a call. All of this having gone on without any legal correspondence (not XXXX letter mailed to either of my addresses that I had lived in that time), only to find out the balance hadn't been dropped but a measly XXXX. I was furious and demanded records of my payments, and a copy of my original contract. I received these things and found that all of my payments had been marked as ""attorney""payments and there was no breakdown of principal, interest or collection costs...   just attorney payments. I did some research and found that there were many things going on that were not only unfair but appeared to be illegal. I called them back, informed them that I had looked into this and was told it was not XXXX but the original lender who drafted this. When I called granite state management the refused to speak with me. I again called XXXX and told them I would settle the debt for XXXX. The original loan was for XXXX, I was told my balance was XXXX after paying for more than XXXX years and that they would settle for no less than XXXX. I then finally got a letter informing me I could dispute the debt in writing. So I did just that. I received a call from a different collection agency regarding this matter and explained the whole thing to the gentleman on the phone, he agreed that something wasn't right and said he would loom into it. I never got a call back from him, and then XXXX days ago I got a call from XXXX again. They now are telling me that I owe them XXXX!!!!???? I got quite upset at the man on the phone, he told me that he would knock it down to XXXX and settle. I told him that I wanted to take care of this debt because I want to buy a house which is why I called them XXXX. He then spun that back on me and basically said i could not buy a home because this debt would hurt my credit... As this was a recorded call I asked him if he realized that it was illegal for him to say that to me and he asked me how? I understand this is a small amount of money, and I also understand that one must pay back their debts, but had I not called them apparently id have been paying them for the rest of my life with no idea the debt was growing not shrinking. I am furious and unsure how to handle this problem and these XXXX predatory companies. Please help me.",,Granite State Management & Resources,NH,038XX,,Consent provided,Web,06/27/2015,Closed with explanation,Yes,No,1441291
06/08/2015,Communication tactics,Used obscene/profane/abusive language,"I received a call from Northeast Collection Bureau about a debt with XXXX XXXX. The company did not leave a message and when I called back the guy as very rude. I asked for the name of the company he was giving partial information. When I hung up the phone, the guy called me back still being rude. When I asked for the address of the company, he stated "" why so you can send a cease and desist because you ca n't pay your bills '' then hung up. This company did not send me any letter in the mail or nothing. This my first time hearing about this company. 
",,Northeast Collection Bureau,GA,302XX,,Consent provided,Web,06/08/2015,Untimely response,No,No,1411463
07/04/2015,Disclosure verification of debt,Not given enough info to verify debt,"I am a resident of the state of Texas and sent National Credit Systems a Texas Debt Validation request in accordance with Texas Finance Code 392.202. This request was received and signed for on XXXX/XXXX/2015. I have not received validation of this debt. It has now been well past the 30 day period in which the agency must respond. I recently checked my credit reports and this debt still remains. I have attached a copy of the Texas Debt Validation Letter, Certified Mail Receipt, and Return Receipt. 
",Company disputes the facts presented in the complaint,"National Credit Systems,Inc.",TX,761XX,,Consent provided,Web,07/04/2015,Closed with explanation,No,No,1451282
06/09/2015,Settlement process and costs,,"Rescission Notice was sent. 
I was completely ignored by the originators the trust, XXXX XXXX XXXX. 
It is TIME. 
",,Ocwen,NY,119XX,,Consent provided,Web,06/11/2015,Closed with explanation,Yes,Yes,1413514
06/09/2015,Improper contact or sharing of info,Contacted me after I asked not to,"2009 when unemployment rates were in the XXXX digits Sessoms and Rogers a attorney debt collector capitalized on consumers who lost their jobs and had charged off debt. They will not settle for anything over 75 % of the debt plus interest added back from your last payment. So XXXX dollars becomes XXXX overnight. They sent the Sherriff to my door XXXX times even after I filled out and filed the paperwork to document XXXX assets. I did not even have furniture in my apt . Now that I am making payments and have been for over 1.5 years they file a current collection on my credit like it is brand new. These debts were over 3 years old when the Sherriff came to my door. I should have never set up a payment plan. What they did was pure harassment and unethical 
",,"Sessoms & Rogers, P.A.",NC,282XX,,Consent provided,Web,06/11/2015,Closed with non-monetary relief,Yes,Yes,1412068
05/27/2015,Money was not available when promised,,"On XXXX XXXX, 2015 I received {$11.00} for XXXX for making several online purchases. 
On XXXX XXXX, I requested that PayPal transfer {$11.00} in my PayPal acct to my XXXX XXXX Checking acct. 
PayPal states that the money will be sent in XXXX5 business days. 
As of the date of this complaint, no money has been transferred into my XXXX XXXX Checking acct. 
Paypal email address is XXXXXXXXXXXX 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",VA,201XX,,Consent provided,Web,05/27/2015,Closed with explanation,Yes,No,1393576
05/27/2015,Other transaction issues,,"Ordered paintings, used paypal as payment method. Paintings arrived XXXX month later damaged. Paypal awarded claim XXXX {$.00} XXXX month later paypal decided in sellers favor and took XXXX $ out of account without explanation, when I tried to fight back that paintings arrived damaged and seller already claimed insurance via USPS my claim was denied. Paypal buyers protection policy is a joke. 
",,"PayPal Holdings, Inc.",FL,325XX,Servicemember,Consent provided,Web,05/27/2015,Closed with monetary relief,Yes,No,1393702
06/09/2015,Closing/Cancelling account,,"Since I was not using enough the credit card, they have closed the account. 
No notification or warning was given to me to avoid having a negative impact on my credit score and penalizing my credibility 
",Company chooses not to provide a public response,Citibank,FL,331XX,,Consent provided,Web,06/09/2015,Closed with explanation,Yes,No,1413081
06/23/2015,Incorrect information on credit report,Account status,"XXXX XXXX, XXXX XXXX XXXX report of negative information about a 2008 loan That was paid and account closed. They continue to report it in collections/charged-off XXXX of XXXX even pulled my Credit Report this month without my consent. It has ruined my credit to the point I have not been able to buy a car, home or rent an apt in my name. It is all very damaging and extremely unfair. I work hard and always pay my bills and taxes. Do companies have a right to put me in this kind of hardship causing me to be considered a credit risk? 
",,Equifax,LA,712XX,,Consent provided,Web,06/23/2015,Closed,Yes,Yes,1433283
